"store_id","store_name","store_city","store_location","product_id","product_name","product_category","product_cost","product_price","stock_on_hand","inventory_status","previous_units_sold","recent_units_sold","average_daily_units","days_of_stock_coverage","demand_change_percent","unit_margin","estimated_recent_revenue","estimated_recent_gross_profit","inventory_value_at_cost"
1,"Maven Toys Guadalajara 1","Guadalajara","Residential",1,"Action Figure","Toys",9.99,15.99,27,"positive_stock",138,107,1.19,22.7,-22.5,6.00,1710.93,642.00,269.73
2,"Maven Toys Monterrey 1","Monterrey","Residential",1,"Action Figure","Toys",9.99,15.99,0,"confirmed_zero_stock",95,121,1.34,0.0,27.4,6.00,1934.79,726.00,0.00
3,"Maven Toys Guadalajara 2","Guadalajara","Commercial",1,"Action Figure","Toys",9.99,15.99,17,"positive_stock",207,55,0.61,27.8,-73.4,6.00,879.45,330.00,169.83
4,"Maven Toys Saltillo 1","Saltillo","Downtown",1,"Action Figure","Toys",9.99,15.99,2,"positive_stock",187,60,0.67,3.0,-67.9,6.00,959.40,360.00,19.98
5,"Maven Toys La Paz 1","La Paz","Downtown",1,"Action Figure","Toys",9.99,15.99,8,"positive_stock",131,41,0.46,17.6,-68.7,6.00,655.59,246.00,79.92
6,"Maven Toys Mexicali 1","Mexicali","Commercial",1,"Action Figure","Toys",9.99,15.99,0,"confirmed_zero_stock",239,32,0.36,0.0,-86.6,6.00,511.68,192.00,0.00
7,"Maven Toys Monterrey 2","Monterrey","Downtown",1,"Action Figure","Toys",9.99,15.99,14,"positive_stock",191,166,1.84,7.6,-13.1,6.00,2654.34,996.00,139.86
8,"Maven Toys Pachuca 1","Pachuca","Downtown",1,"Action Figure","Toys",9.99,15.99,10,"positive_stock",176,48,0.53,18.8,-72.7,6.00,767.52,288.00,99.90
9,"Maven Toys Ciudad de Mexico 1","Ciudad de Mexico","Downtown",1,"Action Figure","Toys",9.99,15.99,15,"positive_stock",246,168,1.87,8.0,-31.7,6.00,2686.32,1008.00,149.85
10,"Maven Toys Campeche 1","Campeche","Downtown",1,"Action Figure","Toys",9.99,15.99,5,"positive_stock",195,94,1.04,4.8,-51.8,6.00,1503.06,564.00,49.95
11,"Maven Toys Cuernavaca 1","Cuernavaca","Downtown",1,"Action Figure","Toys",9.99,15.99,19,"positive_stock",70,94,1.04,18.2,34.3,6.00,1503.06,564.00,189.81
12,"Maven Toys Chetumal 1","Chetumal","Downtown",1,"Action Figure","Toys",9.99,15.99,16,"positive_stock",205,147,1.63,9.8,-28.3,6.00,2350.53,882.00,159.84
13,"Maven Toys Mexicali 2","Mexicali","Downtown",1,"Action Figure","Toys",9.99,15.99,0,"confirmed_zero_stock",271,111,1.23,0.0,-59.0,6.00,1774.89,666.00,0.00
14,"Maven Toys Guanajuato 1","Guanajuato","Downtown",1,"Action Figure","Toys",9.99,15.99,21,"positive_stock",337,71,0.79,26.6,-78.9,6.00,1135.29,426.00,209.79
15,"Maven Toys Tuxtla Gutierrez 1","Tuxtla Gutierrez","Downtown",1,"Action Figure","Toys",9.99,15.99,24,"positive_stock",224,75,0.83,28.8,-66.5,6.00,1199.25,450.00,239.76
16,"Maven Toys San Luis Potosi 1","San Luis Potosi","Downtown",1,"Action Figure","Toys",9.99,15.99,13,"positive_stock",140,41,0.46,28.5,-70.7,6.00,655.59,246.00,129.87
17,"Maven Toys Toluca 1","Toluca","Downtown",1,"Action Figure","Toys",9.99,15.99,22,"positive_stock",277,94,1.04,21.1,-66.1,6.00,1503.06,564.00,219.78
18,"Maven Toys Merida 1","Merida","Downtown",1,"Action Figure","Toys",9.99,15.99,1,"positive_stock",64,85,0.94,1.1,32.8,6.00,1359.15,510.00,9.99
19,"Maven Toys Puebla 1","Puebla","Commercial",1,"Action Figure","Toys",9.99,15.99,5,"positive_stock",98,98,1.09,4.6,0.0,6.00,1567.02,588.00,49.95
20,"Maven Toys Zacatecas 1","Zacatecas","Downtown",1,"Action Figure","Toys",9.99,15.99,38,"positive_stock",188,76,0.84,45.0,-59.6,6.00,1215.24,456.00,379.62
21,"Maven Toys Santiago 1","Santiago","Downtown",1,"Action Figure","Toys",9.99,15.99,7,"positive_stock",140,73,0.81,8.6,-47.9,6.00,1167.27,438.00,69.93
22,"Maven Toys Guanajuato 2","Guanajuato","Commercial",1,"Action Figure","Toys",9.99,15.99,10,"positive_stock",67,98,1.09,9.2,46.3,6.00,1567.02,588.00,99.90
